Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,is high demand (product.metafields.custom.is_high_demand),is hot right now (product.metafields.custom.is_hot_right_now),is selling fast (product.metafields.custom.is_selling_fast),Product Video URL (product.metafields.custom.product_video_url),Accessory size (product.metafields.shopify.accessory-size),Age group (product.metafields.shopify.age-group),Allergen information (product.metafields.shopify.allergen-information),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Bag type (product.metafields.shopify.bag-type),Boot style (product.metafields.shopify.boot-style),Caffeine content (product.metafields.shopify.caffeine-content),Carry options (product.metafields.shopify.carry-options),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Features (product.metafields.shopify.features),Fit type (product.metafields.shopify.fit-type),Flavor (product.metafields.shopify.flavor),Flour/Grain type (product.metafields.shopify.flour-grain-type),Gear material (product.metafields.shopify.gear-material),Handwear material (product.metafields.shopify.handwear-material),Heel height type (product.metafields.shopify.heel-height-type),Item condition (product.metafields.shopify.item-condition),Item material (product.metafields.shopify.item-material),Light source (product.metafields.shopify.light-source),Lighting features (product.metafields.shopify.lighting-features),Manufacturer type (product.metafields.shopify.manufacturer-type),Material (product.metafields.shopify.material),Motorcycle glove purpose (product.metafields.shopify.motorcycle-glove-purpose),Neckline (product.metafields.shopify.neckline),Occasion style (product.metafields.shopify.occasion-style),Outerwear clothing features (product.metafields.shopify.outerwear-clothing-features),Protective gear features (product.metafields.shopify.protective-gear-features),Rack type (product.metafields.shopify.rack-type),Shoe features (product.metafields.shopify.shoe-features),Shoe size (product.metafields.shopify.shoe-size),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Toe style (product.metafields.shopify.toe-style),Vehicle exhaust type (product.metafields.shopify.vehicle-exhaust-type),Vehicle frame/body features (product.metafields.shopify.vehicle-frame-body-features),Vehicle type (product.metafields.shopify.vehicle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
gsadv-side-rear-box-for-bmw-r1300-gs-a,GSADV SIDE&REAR BOX FOR BMW R1300 GS/A,"<h1 data-start=""100"" data-end=""145""><strong data-start=""102"" data-end=""143"">GSADV Side &amp; Rear Box – BMW R1300 GSA</strong></h1>
<p data-start=""147"" data-end=""411"">Maximize your storage and touring capability with the<span> </span><strong data-start=""201"" data-end=""226"">GSADV Side &amp; Rear Box</strong><span> </span>for the BMW R1300 GSA. Perfect for adventure riders, this complete luggage system offers secure, spacious, and weather-resistant storage while complementing your bike’s rugged style.</p>
<h2 data-start=""413"" data-end=""438""><strong data-start=""416"" data-end=""436"">Product Overview</strong></h2>
<p data-start=""439"" data-end=""695"">The GSADV Side &amp; Rear Box system is designed for long-distance rides, touring, and daily commuting. Crafted from high-quality, impact-resistant materials, it keeps your gear safe and accessible while maintaining stability and performance on all terrains.</p>
<h2 data-start=""697"" data-end=""716""><strong data-start=""700"" data-end=""716"">Key Features</strong></h2>
<ul data-start=""717"" data-end=""1303"">
<li data-start=""717"" data-end=""825"">
<p data-start=""719"" data-end=""825""><strong data-start=""719"" data-end=""739"">Spacious Storage</strong><br data-start=""739"" data-end=""742"">Large rear and side boxes provide ample room for helmets, gear, and essentials.</p>
</li>
<li data-start=""827"" data-end=""933"">
<p data-start=""829"" data-end=""933""><strong data-start=""829"" data-end=""853"">Durable Construction</strong><br data-start=""853"" data-end=""856"">Made from high-strength, impact-resistant materials for long-lasting use.</p>
</li>
<li data-start=""935"" data-end=""1022"">
<p data-start=""937"" data-end=""1022""><strong data-start=""937"" data-end=""958"">Lockable &amp; Secure</strong><br data-start=""958"" data-end=""961"">Keep your belongings safe with a reliable locking system.</p>
</li>
<li data-start=""1024"" data-end=""1105"">
<p data-start=""1026"" data-end=""1105""><strong data-start=""1026"" data-end=""1047"">Weather-Resistant</strong><br data-start=""1047"" data-end=""1050"">Protects contents from rain, dust, and road debris.</p>
</li>
<li data-start=""1107"" data-end=""1200"">
<p data-start=""1109"" data-end=""1200""><strong data-start=""1109"" data-end=""1135"">Adventure-Ready Design</strong><br data-start=""1135"" data-end=""1138"">Complements the BMW R1300 GSA’s rugged touring aesthetics.</p>
</li>
<li data-start=""1202"" data-end=""1303"">
<p data-start=""1204"" data-end=""1303""><strong data-start=""1204"" data-end=""1225"">Easy Installation</strong><br data-start=""1225"" data-end=""1228"">Precision-engineered mounting system ensures stable, plug-and-play fit.</p>
</li>
</ul>
<h2 data-start=""1305"" data-end=""1325""><strong data-start=""1308"" data-end=""1325"">Compatibility</strong></h2>
<ul data-start=""1326"" data-end=""1345"">
<li data-start=""1326"" data-end=""1345"">
<p data-start=""1328"" data-end=""1345"">✔ BMW R1300 GSA</p>
</li>
</ul>
<h2 data-start=""1347"" data-end=""1370""><strong data-start=""1350"" data-end=""1370"">Package Includes</strong></h2>
<ul data-start=""1371"" data-end=""1440"">
<li data-start=""1371"" data-end=""1393"">
<p data-start=""1373"" data-end=""1393"">1 × GSADV Rear Box</p>
</li>
<li data-start=""1394"" data-end=""1418"">
<p data-start=""1396"" data-end=""1418"">2 × GSADV Side Boxes</p>
</li>
<li data-start=""1419"" data-end=""1440"">
<p data-start=""1421"" data-end=""1440"">Mounting hardware</p>
</li>
</ul>",GSADV,Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Storage & Cargo > Motorcycle Bags & Panniers,PARTS AND ACCESSORIES,"",true,Color/Finish,Gray,,,,,,,,GSADV-R13GSA-SRBZP-BK-1,0.0,shopify,1,deny,manual,75000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0695/8779/6042/files/GSADVSIDE_REARBOXFORBMWR1300GSA5.webp?v=1783414215,1,"",false,,,,,,,,,,,,,tail-bag,,,,,silver; black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,motorcycle,,,,,https://cdn.shopify.com/s/files/1/0695/8779/6042/files/GSADVSIDE_REARBOXFORBMWR1300GSA3.webp?v=1783414215,kg,,,active
gsadv-side-rear-box-for-bmw-r1300-gs-a,,,,,,,,,Black,,,,,,,,GSADV-R13GSA-SRBZP-BK-2,0.0,shopify,0,deny,manual,75000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0695/8779/6042/files/GSADVSIDE_REARBOXFORBMWR1300GSA6.webp?v=1783414215,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0695/8779/6042/files/GSADVSIDE_REARBOXFORBMWR1300GSA1.webp?v=1783414215,kg,,,
gsadv-side-rear-box-for-bmw-r1300-gs-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0695/8779/6042/files/GSADVSIDE_REARBOXFORBMWR1300GSA4.webp?v=1783414215,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gsadv-side-rear-box-for-bmw-r1300-gs-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0695/8779/6042/files/GSADVSIDE_REARBOXFORBMWR1300GSA3.webp?v=1783414215,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gsadv-side-rear-box-for-bmw-r1300-gs-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0695/8779/6042/files/GSADVSIDE_REARBOXFORBMWR1300GSA2.webp?v=1783414215,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gsadv-side-rear-box-for-bmw-r1300-gs-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0695/8779/6042/files/GSADVSIDE_REARBOXFORBMWR1300GSA1.webp?v=1783414215,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gsadv-duffle-bag-black-48-liters,GSADV DUFFLE BAG BLACK 48 LITERS,"<h1 data-start=""96"" data-end=""139""><strong data-start=""98"" data-end=""137"">GSADV Duffle Bag Waterproof – Black</strong></h1>
<p data-start=""141"" data-end=""388"">Carry your essentials safely and conveniently on every ride with the<span> </span><strong data-start=""210"" data-end=""241"">GSADV Duffle Bag Waterproof</strong>. Designed for motorcycle and adventure enthusiasts, this bag keeps your belongings dry, secure, and easily accessible in all weather conditions.</p>
<h2 data-start=""390"" data-end=""415""><strong data-start=""393"" data-end=""413"">Product Overview</strong></h2>
<p data-start=""416"" data-end=""712"">The GSADV Waterproof Duffle Bag is made from high-quality, durable, and fully waterproof materials to protect your gear from rain, mud, and dust. Its versatile design allows you to attach it to your bike or carry it as a travel bag, making it perfect for touring, commuting, or adventure trips.</p>
<h2 data-start=""714"" data-end=""733""><strong data-start=""717"" data-end=""733"">Key Features</strong></h2>
<ul data-start=""734"" data-end=""1257"">
<li data-start=""734"" data-end=""836"">
<p data-start=""736"" data-end=""836""><strong data-start=""736"" data-end=""761"">Waterproof Protection</strong><br data-start=""761"" data-end=""764"">Keeps your belongings safe and dry in rain, mud, and wet conditions.</p>
</li>
<li data-start=""838"" data-end=""946"">
<p data-start=""840"" data-end=""946""><strong data-start=""840"" data-end=""864"">Durable Construction</strong><br data-start=""864"" data-end=""867"">Made from high-strength, abrasion-resistant materials for long-lasting use.</p>
</li>
<li data-start=""948"" data-end=""1041"">
<p data-start=""950"" data-end=""1041""><strong data-start=""950"" data-end=""973"">Spacious &amp; Flexible</strong><br data-start=""973"" data-end=""976"">Provides ample storage for clothes, gear, and personal items.</p>
</li>
<li data-start=""1043"" data-end=""1142"">
<p data-start=""1045"" data-end=""1142""><strong data-start=""1045"" data-end=""1065"">Versatile Design</strong><br data-start=""1065"" data-end=""1068"">Can be secured to motorcycles, backpacks, or carried by hand/shoulder.</p>
</li>
<li data-start=""1144"" data-end=""1257"">
<p data-start=""1146"" data-end=""1257""><strong data-start=""1146"" data-end=""1171"">Adventure-Ready Style</strong><br data-start=""1171"" data-end=""1174"">Sleek black design complements any bike while offering practical functionality.</p>
</li>
</ul>
<h2 data-start=""1259"" data-end=""1282""><strong data-start=""1262"" data-end=""1282"">Package Includes</strong></h2>
<ul data-start=""1283"" data-end=""1326"">
<li data-start=""1283"" data-end=""1326"">
<p data-start=""1285"" data-end=""1326"">1 × GSADV Duffle Bag Waterproof – Black</p>
</li>
</ul>",GSADV,Luggage & Bags > Duffel Bags,PARTS AND ACCESSORIES,"",true,Title,Default Title,,,,,,,,506-051-001-007-11,0.0,shopify,1,deny,manual,4720.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0695/8779/6042/files/GSADVDUFFLEBAGBLACK48LITERS2.webp?v=1783409981,1,"",false,,,,,,,,,,,,,,,,handle; shoulder-strap,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
gsadv-signal-light-protector-for-bmw-r1300-gs-gsa,GSADV HEADLIGHT PROTECTOR FOR BMW R1300 GS/GSA,"<h1 data-start=""101"" data-end=""147""><strong data-start=""103"" data-end=""145"">GSADV Headlamp Protector – BMW R1300GS</strong></h1>
<p data-start=""149"" data-end=""381"">Protect your BMW R1300GS headlamp from scratches, impacts, and debris with the<span> </span><strong data-start=""228"" data-end=""256"">GSADV Headlamp Protector</strong>. Engineered for adventure riders, it ensures durability while maintaining full visibility and the sleek look of your bike.</p>
<h2 data-start=""383"" data-end=""408""><strong data-start=""386"" data-end=""406"">Product Overview</strong></h2>
<p data-start=""409"" data-end=""649"">The GSADV Headlamp Protector is made from high-quality, impact-resistant materials that safeguard your headlight without compromising light output. Its precise fit and rugged design make it ideal for off-road, touring, or daily commuting.</p>
<h2 data-start=""651"" data-end=""670""><strong data-start=""654"" data-end=""670"">Key Features</strong></h2>
<ul data-start=""671"" data-end=""1198"">
<li data-start=""671"" data-end=""772"">
<p data-start=""673"" data-end=""772""><strong data-start=""673"" data-end=""704"">Impact &amp; Scratch Protection</strong><br data-start=""704"" data-end=""707"">Shields your headlamp from stones, branches, and road debris.</p>
</li>
<li data-start=""774"" data-end=""878"">
<p data-start=""776"" data-end=""878""><strong data-start=""776"" data-end=""800"">Durable Construction</strong><br data-start=""800"" data-end=""803"">Made from premium, high-strength materials for long-lasting protection.</p>
</li>
<li data-start=""880"" data-end=""988"">
<p data-start=""882"" data-end=""988""><strong data-start=""882"" data-end=""899"">Precision Fit</strong><br data-start=""899"" data-end=""902"">Specifically designed for BMW R1300GS for easy installation and perfect alignment.</p>
</li>
<li data-start=""990"" data-end=""1116"">
<p data-start=""992"" data-end=""1116""><strong data-start=""992"" data-end=""1018"">Adventure-Ready Design</strong><br data-start=""1018"" data-end=""1021"">Complements the rugged aesthetics of your BMW R1300GS while providing practical protection.</p>
</li>
<li data-start=""1118"" data-end=""1198"">
<p data-start=""1120"" data-end=""1198""><strong data-start=""1120"" data-end=""1141"">Easy Installation</strong><br data-start=""1141"" data-end=""1144"">Simple bolt-on design — no modifications required.</p>
</li>
</ul>
<h2 data-start=""1200"" data-end=""1220""><strong data-start=""1203"" data-end=""1220"">Compatibility</strong></h2>
<ul data-start=""1221"" data-end=""1238"">
<li data-start=""1221"" data-end=""1238"">
<p data-start=""1223"" data-end=""1238"">✔ BMW R1300GS</p>
</li>
</ul>
<h2 data-start=""1240"" data-end=""1263""><strong data-start=""1243"" data-end=""1263"">Package Includes</strong></h2>
<ul data-start=""1264"" data-end=""1318"">
<li data-start=""1264"" data-end=""1296"">
<p data-start=""1266"" data-end=""1296"">1 × GSADV Headlamp Protector</p>
</li>
<li data-start=""1297"" data-end=""1318"">
<p data-start=""1299"" data-end=""1318"">Mounting hardware</p>
</li>
</ul>",GSADV,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Lighting,PARTS AND ACCESSORIES,"",true,Title,Default Title,,,,,,,,GSADV-R13GS-HLP-CL,0.0,shopify,1,deny,manual,4950.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0695/8779/6042/files/GSADVSIGNALLIGHTPROTECTORFORBMWR1300GSGSA1.webp?v=1783409507,1,"",false,,,,,,,,,,,,,,,,,,black,,,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
gsadv-signal-light-protector-for-bmw-r1300-gs-gsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0695/8779/6042/files/GSADVSIGNALLIGHTPROTECTORFORBMWR1300GSGSA4.webp?v=1783409507,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gsadv-signal-light-protector-for-bmw-r1300-gs-gsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0695/8779/6042/files/GSADVSIGNALLIGHTPROTECTORFORBMWR1300GSGSA3.webp?v=1783409507,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
